drug,target
Apigenin,APAF1
Apigenin,ARNT
Apigenin,ATF6
Apigenin,B3GALT5
Apigenin,BAX
Apigenin,BCL2
Apigenin,BCL2L1
Apigenin,BID
Apigenin,BIRC3
Apigenin,CASP12
Apigenin,CASP3
Apigenin,CASP7
Apigenin,CASP8
Apigenin,CASP9
Apigenin,CAT
Apigenin,CCNB1
Apigenin,CD40
Apigenin,CDK1
Apigenin,CDKN1A
Apigenin,CFTR
Apigenin,CKM
Apigenin,CYCS
Apigenin,CYP19A1
Apigenin,CYP1A1
Apigenin,CYP1A2
Apigenin,CYP1B1
Apigenin,CYP2C9
Apigenin,CYP3A4
Apigenin,DDIT3
Apigenin,ERBB2
Apigenin,ERN1
Apigenin,ESR1
Apigenin,ESR2
Apigenin,FOS
Apigenin,GCLC
Apigenin,GCLM
Apigenin,GLI1
Apigenin,GYPA
Apigenin,HIF1A
Apigenin,HMOX1
Apigenin,HSP90B1
Apigenin,HSPA5
Apigenin,HSPA8
Apigenin,ICAM1
Apigenin,IFNG
Apigenin,IKBKB
Apigenin,IL1B
Apigenin,IL4
Apigenin,IL6
Apigenin,JUN
Apigenin,LEP
Apigenin,LTF
Apigenin,MAPK1
Apigenin,MAPK3
Apigenin,MAPK8
Apigenin,MAPK9
Apigenin,MMP1
Apigenin,MMP9
Apigenin,NFE2L2
Apigenin,NFKB1
Apigenin,NFKB2
Apigenin,NFKBIA
Apigenin,NFKBIB
Apigenin,NOS2
Apigenin,NR1I2
Apigenin,PARP1
Apigenin,PGR
Apigenin,PKM
Apigenin,POU5F1
Apigenin,PPARG
Apigenin,PRKAA1
Apigenin,RELA
Apigenin,RPS6KB1
Apigenin,S1PR1
Apigenin,S1PR2
Apigenin,S1PR3
Apigenin,SELE
Apigenin,SHBG
Apigenin,SLC16A1
Apigenin,SOD1
Apigenin,SPHK1
Apigenin,SULT1A1
Apigenin,TNF
Apigenin,TP53
Apigenin,TP53I3
Apigenin,TP63
Apigenin,TP73
Apigenin,UGT1A1
Apigenin,UGT1A10
Apigenin,UGT1A7
Apigenin,UGT1A8
Apigenin,UGT1A9
Apigenin,UGT2B15
Apigenin,VCAM1
Aplaviroc,CCR5
Aprepitant,TAC1
Aprepitant,TACR1
Arachidonic Acid,ABCA1
Arachidonic Acid,AGT
Arachidonic Acid,ALOX12
Arachidonic Acid,ALOX15
Arachidonic Acid,ALOX5
Arachidonic Acid,APOA1
Arachidonic Acid,APOE
Arachidonic Acid,ATF2
Arachidonic Acid,AVP
Arachidonic Acid,BAX
Arachidonic Acid,BCL2
Arachidonic Acid,BCL2L1
Arachidonic Acid,BID
Arachidonic Acid,CASP3
Arachidonic Acid,CASP8
Arachidonic Acid,CASP9
Arachidonic Acid,CAT
Arachidonic Acid,CES1
Arachidonic Acid,CES2
Arachidonic Acid,CNR2
Arachidonic Acid,CSK
Arachidonic Acid,CXCL8
Arachidonic Acid,CYCS
Arachidonic Acid,CYGB
Arachidonic Acid,CYP1A1
Arachidonic Acid,CYP1A2
Arachidonic Acid,CYP1B1
Arachidonic Acid,CYP2C19
Arachidonic Acid,CYP2C9
Arachidonic Acid,CYP2E1
Arachidonic Acid,CYP2J2
Arachidonic Acid,CYP3A4
Arachidonic Acid,EGFR
Arachidonic Acid,FAAH
Arachidonic Acid,FADD
Arachidonic Acid,FAS
Arachidonic Acid,FASLG
Arachidonic Acid,FOS
