drug,target
Dexamethasone,IL1A
Dexamethasone,IL1B
Dexamethasone,IL2
Dexamethasone,IL2RA
Dexamethasone,IL2RB
Dexamethasone,IL4
Dexamethasone,IL5
Dexamethasone,IL5RA
Dexamethasone,IL6
Dexamethasone,INS
Dexamethasone,INSR
Dexamethasone,IRS1
Dexamethasone,ITGAM
Dexamethasone,KCNA2
Dexamethasone,KCNB1
Dexamethasone,KCNK2
Dexamethasone,KCNMA1
Dexamethasone,KIT
Dexamethasone,KNG1
Dexamethasone,LEP
Dexamethasone,LGALS3
Dexamethasone,LPL
Dexamethasone,LYN
Dexamethasone,MADCAM1
Dexamethasone,MAOA
Dexamethasone,MAOB
Dexamethasone,MAP2
Dexamethasone,MAP2K1
Dexamethasone,MAPK1
Dexamethasone,MAPK14
Dexamethasone,MAPK3
Dexamethasone,MAPK8
Dexamethasone,MGMT
Dexamethasone,MKI67
Dexamethasone,MMP1
Dexamethasone,MMP12
Dexamethasone,MMP2
Dexamethasone,MMP9
Dexamethasone,MPO
Dexamethasone,MSTN
Dexamethasone,MT1A
Dexamethasone,MUC1
Dexamethasone,MYOC
Dexamethasone,NCOA1
Dexamethasone,NDRG1
Dexamethasone,NEFM
Dexamethasone,NES
Dexamethasone,NFE2L2
Dexamethasone,NFKB1
Dexamethasone,NFKBIA
Dexamethasone,NGF
Dexamethasone,NKX2-1
Dexamethasone,NOS1
Dexamethasone,NOS2
Dexamethasone,NOS3
Dexamethasone,NPPA
Dexamethasone,NPPB
Dexamethasone,NQO1
Dexamethasone,NR1I2
Dexamethasone,NR1I3
Dexamethasone,NR2F2
Dexamethasone,NR3C1
Dexamethasone,NR3C2
Dexamethasone,NR4A1
Dexamethasone,OLFM4
Dexamethasone,PAM
Dexamethasone,PARP1
Dexamethasone,PCK1
Dexamethasone,PCNA
Dexamethasone,PDCD5
Dexamethasone,PDK1
Dexamethasone,PDK4
Dexamethasone,PDP1
Dexamethasone,PER1
Dexamethasone,PIK3R1
Dexamethasone,PLA2G1B
Dexamethasone,PLA2G4A
Dexamethasone,PLAT
Dexamethasone,PLAU
Dexamethasone,PLCG1
Dexamethasone,PLG
Dexamethasone,POLDIP3
Dexamethasone,POMC
Dexamethasone,PPARA
Dexamethasone,PPARG
Dexamethasone,PPARGC1A
Dexamethasone,PPP2CA
Dexamethasone,PRKACB
Dexamethasone,PRL
Dexamethasone,PTGS1
Dexamethasone,PTGS2
Dexamethasone,PTK2B
Dexamethasone,PTMA
Dexamethasone,RB1
Dexamethasone,RELA
Dexamethasone,REN
Dexamethasone,RPS6KB1
Dexamethasone,RXRA
Dexamethasone,SCARB1
Dexamethasone,SCNN1B
Dexamethasone,SCNN1G
Dexamethasone,SDC1
Dexamethasone,SELE
Dexamethasone,SEPP1
Dexamethasone,SERPINA1
Dexamethasone,SERPINB1
Dexamethasone,SERPINE1
Dexamethasone,SFTPA1
Dexamethasone,SFTPB
Dexamethasone,SGK1
Dexamethasone,SIRT1
Dexamethasone,SLC10A1
Dexamethasone,SLC12A1
Dexamethasone,SLC12A3
Dexamethasone,SLC22A1
Dexamethasone,SLC22A7
Dexamethasone,SLC2A5
Dexamethasone,SLC30A2
Dexamethasone,SLC4A2
Dexamethasone,SLC5A5
Dexamethasone,SLC6A4
Dexamethasone,SLC9A3
Dexamethasone,SOD1
Dexamethasone,SOD2
Dexamethasone,SP7
Dexamethasone,SPTAN1
Dexamethasone,SRC
Dexamethasone,SREBF1
Dexamethasone,STAT3
Dexamethasone,STAT5A
Dexamethasone,STAT5B
Dexamethasone,SYP
Dexamethasone,TAC1
Dexamethasone,TAT
Dexamethasone,TDO2
Dexamethasone,TF
Dexamethasone,TFRC
Dexamethasone,TGFA
Dexamethasone,TGFB1
Dexamethasone,TH
Dexamethasone,TIMP1
Dexamethasone,TNF
Dexamethasone,TNFRSF11B
Dexamethasone,TNFSF10
Dexamethasone,TNFSF11
Dexamethasone,TNFSF18
Dexamethasone,TP53
Dexamethasone,TRH
Dexamethasone,TSC22D3
Dexamethasone,TSHB
Dexamethasone,UBE2I
Dexamethasone,UGT1A1
Dexamethasone,USP3
Dexamethasone,VCAM1
Dexamethasone,VDR
Dexamethasone,VEGFA
Dexamethasone,WNT3A
Dexamethasone,XDH
Dexamethasone,XIAP
Dexamethasone,YWHAH
Dexamethasone,ZFP36
Diazepam,AKR1C1
Diazepam,AKR1C2
Diazepam,AKR1C3
Diazepam,AKR1C4
Diazepam,ALB
Diazepam,BDNF
Diazepam,CNR1
Diazepam,CREB1
Diazepam,CXCL8
Diazepam,CYP2C19
Diazepam,CYP3A
Diazepam,CYP3A4
Diazepam,FOS
Diazepam,GABRA1
Diazepam,GABRA2
Diazepam,GABRA3
Diazepam,GABRA4
Diazepam,GABRA5
Diazepam,GABRA6
Diazepam,GABRB1
Diazepam,GABRG2
Diazepam,GRIN2A
Diazepam,JUN
Diazepam,MAPK1
Diazepam,MAPK14
Diazepam,MAPK3
Diazepam,MAPK8
Diazepam,NFKB1
Diazepam,NOS2
Diazepam,NR1I2
Diazepam,ODC1
Diazepam,RELA
Diazepam,SLC12A5
Diazepam,SLC22A2
Diazepam,SLC22A6
Diazepam,SLC2A1
Diazepam,TAC1
Diazepam,TAT
Diazepam,TRH
Diazepam,TRHR
Diazepam,TSPO
Dicloxacillin,ABCB11
Dicloxacillin,AGER
Dicloxacillin,CYP3A4
Dicloxacillin,GPT
Dicloxacillin,HMGB1
Dicloxacillin,ICAM1
Dicloxacillin,IL4
Dicloxacillin,NR1I2
Diethylcarbamazine,CYP2C19
Diethyldithiocarbamate,ALDH3A1
Diethyldithiocarbamate,APAF1
Diethyldithiocarbamate,CASP3
Diethyldithiocarbamate,CASP8
Diethyldithiocarbamate,CASP9
Diethyldithiocarbamate,CCS
Diethyldithiocarbamate,CNP
Diethyldithiocarbamate,CP
Diethyldithiocarbamate,CYCS
Diethyldithiocarbamate,CYP1A2
Diethyldithiocarbamate,CYP2A6
Diethyldithiocarbamate,CYP2C19
Diethyldithiocarbamate,CYP2E1
Diethyldithiocarbamate,DDIT4
Diethyldithiocarbamate,DPYSL2
Diethyldithiocarbamate,GSTA3
Diethyldithiocarbamate,GSTM1
Diethyldithiocarbamate,GSTP1
Diethyldithiocarbamate,HADHA
Diethyldithiocarbamate,HBG2
Diethyldithiocarbamate,HMOX1
Diethyldithiocarbamate,HSD11B2
Diethyldithiocarbamate,ICAM1
Diethyldithiocarbamate,IFNG
Diethyldithiocarbamate,MAPK1
Diethyldithiocarbamate,MAPK3
Diethyldithiocarbamate,MBP
Diethyldithiocarbamate,NFKB1
Diethyldithiocarbamate,NOS2
Diethyldithiocarbamate,PLA2G4A
Diethyldithiocarbamate,PLN
Diethyldithiocarbamate,PRDX2
Diethyldithiocarbamate,PRDX6
Diethyldithiocarbamate,PRNP
Diethyldithiocarbamate,PYGB
Diethyldithiocarbamate,RELA
Diethyldithiocarbamate,SLC6A3
Diethyldithiocarbamate,SNCA
Diethyldithiocarbamate,SOD1
Diethyldithiocarbamate,TH
Diethyldithiocarbamate,TP53
Diethyldithiocarbamate,UBA1
Diethyldithiocarbamate,UCP2
Digitoxin,ABCB1
Digitoxin,BIRC5
Digitoxin,CASP3
Digitoxin,CASP8
Digitoxin,CASP9
Digitoxin,CCL2
Digitoxin,CCNB1
Digitoxin,CDK1
Digitoxin,CDKN1A
Digitoxin,CDKN1B
Digitoxin,CHEK1
Digitoxin,CHEK2
Digitoxin,CXCL8
Digitoxin,CYCS
Digitoxin,FANCD2
Digitoxin,FANCI
Digitoxin,IL1B
Digitoxin,MAPK1
Digitoxin,MAPK3
Digitoxin,NFKB1
Digitoxin,NFKBIA
Digitoxin,NOS3
Digitoxin,TP53
Digitoxin,VCAM1
Digoxin,ABCA8
Digoxin,ABCB1
Digoxin,ABCG2
Digoxin,CCL2
Digoxin,CCL4
Digoxin,CCL5
Digoxin,CXCL8
Digoxin,FANCD2
Digoxin,FANCI
Digoxin,HIF1A
Digoxin,IL6R
Digoxin,INS
Digoxin,KCNH2
Digoxin,MAPK1
Digoxin,MAPK3
Digoxin,NOS3
Digoxin,NPPB
Digoxin,RORC
Digoxin,SLC22A1
Digoxin,SLC22A3
Digoxin,VEGFA
Dihydroartemisinin,CASP3
Dihydroartemisinin,CAT
Dihydroartemisinin,CYP1A2
Dihydroartemisinin,CYP2C19
Dihydroartemisinin,CYP3A4
Dihydroartemisinin,GYPA
Dihydroartemisinin,JUN
Dihydroartemisinin,MAPK1
Dihydroartemisinin,MAPK3
Dihydroartemisinin,MMP14
Dihydroartemisinin,MMP2
Dihydroartemisinin,MMP9
Dihydroartemisinin,NFKBIA
Dihydroartemisinin,PMAIP1
Dihydroartemisinin,PRKCA
Dihydroartemisinin,RELA
Dihydroartemisinin,SOD1
Dihydroartemisinin,SOD2
Dihydroartemisinin,TP53
Diiodohydroxyquinoline,GSTP1
Diloxanide furoate,FGFR1
Diloxanide furoate,RAF1
Diminazene,ASIC5
Diosmin,AHR
Diosmin,BAD
Diosmin,BCL2
Diosmin,CASP3
Diosmin,CASP7
Diosmin,CASP9
Diosmin,CAT
Diosmin,CYP2E1
Diosmin,GSR
Diosmin,MKI67
Diosmin,NOS2
Diosmin,PCNA
Diosmin,PTGS2
Diosmin,TNF
Diosmin,TP53
Diosmin,XDH
Diphenhydramine,ATG5
Diphenhydramine,BCHE
Diphenhydramine,CXCL8
Diphenhydramine,HRH1
Diphenhydramine,IL6
Diphenhydramine,NR1I3
Diphenhydramine,SLC22A1
Diphenhydramine,SLC22A2
Diphenhydramine,SLC22A3
Diphenhydramine,SLC22A5
Dipyridamole,ABCB11
Dipyridamole,ABCC4
Dipyridamole,ADORA3
Dipyridamole,APOE
Dipyridamole,BCL2L1
Dipyridamole,CASP1
Dipyridamole,CASP3
Dipyridamole,CASP7
Dipyridamole,CASP8
Dipyridamole,CCL2
Dipyridamole,CD40LG
Dipyridamole,CFLAR
Dipyridamole,DIABLO
Dipyridamole,DUSP1
Dipyridamole,HMOX1
Dipyridamole,IKBKB
Dipyridamole,IL1B
Dipyridamole,IL6
Dipyridamole,INSR
Dipyridamole,LEP
Dipyridamole,MAPK8
Dipyridamole,NFKBIA
Dipyridamole,NOS2
Dipyridamole,NPPB
Dipyridamole,ORM1
Dipyridamole,ORM2
Dipyridamole,PDE10A
Dipyridamole,PDE11A
Dipyridamole,PDE5A
Dipyridamole,PDE7A
Dipyridamole,PDE7B
Dipyridamole,PDE8A
Dipyridamole,PDE8B
Dipyridamole,PLAT
Dipyridamole,PTGS2
Dipyridamole,RCAN1
Dipyridamole,SLC22A2
Dipyridamole,SLC29A1
Dipyridamole,SLC29A2
Dipyridamole,SLC47A1
Dipyridamole,SLC4A1
Dipyridamole,SPP1
Dipyridamole,TGFB1
Dipyridamole,TH
Dipyridamole,VEGFA
Disulfiram,ABAT
Disulfiram,ABCB1
Disulfiram,ABCB11
Disulfiram,ABCC1
Disulfiram,ABCC4
Disulfiram,ACHE
Disulfiram,AGXT2
Disulfiram,ALDH1A1
Disulfiram,ALDH1A2
Disulfiram,ALDH2
Disulfiram,ALDH3A1
Disulfiram,AR
Disulfiram,ATF1
Disulfiram,ATF2
Disulfiram,BAX
Disulfiram,CASP3
Disulfiram,CASP7
Disulfiram,CCK
Disulfiram,CCL5
Disulfiram,CCNA2
Disulfiram,CCR5
Disulfiram,CDKN1B
Disulfiram,COX1
Disulfiram,CREB1
Disulfiram,CYP2E1
Disulfiram,CYP3A4
Disulfiram,DBH
Disulfiram,DCXR
Disulfiram,FSHB
Disulfiram,GH1
Disulfiram,HBG2
Disulfiram,HSD11B1
Disulfiram,HSD11B2
Disulfiram,LHB
Disulfiram,MAPK8
Disulfiram,NFKBIA
Disulfiram,NQO1
Disulfiram,PAM
Disulfiram,PARP1
Disulfiram,POMC
Disulfiram,PTEN
Disulfiram,SOD1
Disulfiram,TAT
Disulfiram,TNF
Disulfiram,TRH
Disulfiram,TSHB
Doxorubicin,AAMDC
Doxorubicin,ABCB1
Doxorubicin,ABCB4
Doxorubicin,ABCB5
Doxorubicin,ABCC1
Doxorubicin,ABCC2
Doxorubicin,ABCC3
Doxorubicin,ABCG2
Doxorubicin,ABL1
Doxorubicin,ABLIM1
Doxorubicin,ACADL
Doxorubicin,ACADVL
Doxorubicin,ACE
Doxorubicin,ACO1
Doxorubicin,ACO2
Doxorubicin,ACP1
Doxorubicin,ACTA2
Doxorubicin,ACTN1
Doxorubicin,ACTN4
Doxorubicin,ADA
Doxorubicin,ADD3
Doxorubicin,ADGRL1
Doxorubicin,AGL
Doxorubicin,AGT
Doxorubicin,AGTR1
Doxorubicin,AIFM1
Doxorubicin,AKAP12
Doxorubicin,AKR1A1
Doxorubicin,AKR1C3
Doxorubicin,AKT1
Doxorubicin,AKT2
Doxorubicin,AKT3
Doxorubicin,ALB
Doxorubicin,ALDH1A2
Doxorubicin,ALDH2
Doxorubicin,ALDH7A1
Doxorubicin,ALDOA
Doxorubicin,ANAPC2
Doxorubicin,ANGPT1
Doxorubicin,ANKRD1
Doxorubicin,ANXA5
Doxorubicin,AOX1
Doxorubicin,APAF1
Doxorubicin,APOA1
Doxorubicin,APOB
Doxorubicin,APOBEC3C
Doxorubicin,APOE
Doxorubicin,APP
Doxorubicin,AQP2
Doxorubicin,AQP3
Doxorubicin,AQP4
Doxorubicin,ARL6IP5
Doxorubicin,ATF4
Doxorubicin,ATM
Doxorubicin,ATP2A1
Doxorubicin,ATP2A2
Doxorubicin,ATP5H
Doxorubicin,ATP5I
Doxorubicin,ATP7A
Doxorubicin,ATR
Doxorubicin,AURKB
Doxorubicin,AVP
Doxorubicin,AXL
Doxorubicin,BACH1
Doxorubicin,BAD
Doxorubicin,BAK1
Doxorubicin,BAX
Doxorubicin,BBC3
Doxorubicin,BBS4
Doxorubicin,BCL2
Doxorubicin,BCL2A1
Doxorubicin,BCL2L1
Doxorubicin,BCL2L11
Doxorubicin,BDKRB1
Doxorubicin,BECN1
Doxorubicin,BFAR
Doxorubicin,BID
Doxorubicin,BIK
Doxorubicin,BIN1
Doxorubicin,BIRC2
Doxorubicin,BIRC3
Doxorubicin,BIRC5
Doxorubicin,BMP4
Doxorubicin,BMX
Doxorubicin,BNC1
Doxorubicin,BNIP1
Doxorubicin,BUB1B
Doxorubicin,BUB3
Doxorubicin,C3
Doxorubicin,CACYBP
Doxorubicin,CALR
Doxorubicin,CARM1
Doxorubicin,CASP10
Doxorubicin,CASP12
Doxorubicin,CASP2
Doxorubicin,CASP3
Doxorubicin,CASP5
Doxorubicin,CASP6
Doxorubicin,CASP7
Doxorubicin,CASP8
Doxorubicin,CASP9
Doxorubicin,CAT
Doxorubicin,CAV1
Doxorubicin,CBR1
Doxorubicin,CBR3
Doxorubicin,CCAR1
Doxorubicin,CCL2
Doxorubicin,CCNA2
Doxorubicin,CCNB1
Doxorubicin,CCNB2
Doxorubicin,CCND1
Doxorubicin,CCND2
Doxorubicin,CCND3
Doxorubicin,CCNE1
Doxorubicin,CD2AP
Doxorubicin,CD40LG
Doxorubicin,CD44
Doxorubicin,CD59
Doxorubicin,CDC25C
Doxorubicin,CDC7
Doxorubicin,CDK1
Doxorubicin,CDK2
Doxorubicin,CDK4
Doxorubicin,CDKN1A
Doxorubicin,CDKN1B
Doxorubicin,CDKN2C
Doxorubicin,CDY1
Doxorubicin,CEBPA
Doxorubicin,CENPA
Doxorubicin,CFB
Doxorubicin,CFD
Doxorubicin,CFLAR
Doxorubicin,CFTR
Doxorubicin,CHEK1
Doxorubicin,CHEK2
Doxorubicin,CHUK
Doxorubicin,CIAPIN1
Doxorubicin,CKAP2
Doxorubicin,CKB
Doxorubicin,CKM
Doxorubicin,CKMT2
Doxorubicin,CLU
Doxorubicin,CNR1
Doxorubicin,COL18A1
Doxorubicin,COL6A3
Doxorubicin,COX1
Doxorubicin,COX17
Doxorubicin,COX2
Doxorubicin,COX5A
Doxorubicin,CREBBP
Doxorubicin,CREG1
Doxorubicin,CS
Doxorubicin,CSE1L
Doxorubicin,CSF3
Doxorubicin,CSF3R
Doxorubicin,CTNNB1
Doxorubicin,CTSB
Doxorubicin,CTSD
Doxorubicin,CTSS
Doxorubicin,CXCL5
Doxorubicin,CXCL8
Doxorubicin,CYBB
Doxorubicin,CYCS
Doxorubicin,CYLD
Doxorubicin,CYP1A1
Doxorubicin,CYP1A2
Doxorubicin,CYP1B1
Doxorubicin,CYP2J2
Doxorubicin,DAG1
Doxorubicin,DBI
Doxorubicin,DCPS
Doxorubicin,DDIT3
Doxorubicin,DENND2A
Doxorubicin,DES
Doxorubicin,DFFA
Doxorubicin,DKK1
Doxorubicin,DKK3
Doxorubicin,DLC1
Doxorubicin,DLEU2
Doxorubicin,DMD
Doxorubicin,DNMT1
Doxorubicin,DOCK4
Doxorubicin,DONSON
Doxorubicin,DPP4
Doxorubicin,DRAM1
Doxorubicin,DSC3
Doxorubicin,DSP
Doxorubicin,DTYMK
Doxorubicin,DZIP1
Doxorubicin,E2F1
Doxorubicin,ECE1
Doxorubicin,EDN1
Doxorubicin,EDNRA
Doxorubicin,EFCAB7
Doxorubicin,EGF
Doxorubicin,EGFR
Doxorubicin,EGR1
Doxorubicin,EHMT2
Doxorubicin,EIF2A
Doxorubicin,EIF2AK3
Doxorubicin,EIF4EBP1
Doxorubicin,EIF4G1
Doxorubicin,ELL3
Doxorubicin,EMP2
Doxorubicin,ENO3
Doxorubicin,EP300
Doxorubicin,EPCAM
Doxorubicin,EPO
Doxorubicin,EPOR
Doxorubicin,ERBB2
Doxorubicin,ERBB3
Doxorubicin,ERP29
Doxorubicin,ESR1
Doxorubicin,ETFB
Doxorubicin,ETV6
Doxorubicin,EZH2
Doxorubicin,F2
Doxorubicin,F3
Doxorubicin,F7
Doxorubicin,FABP3
Doxorubicin,FADD
Doxorubicin,FAM171A1
Doxorubicin,FAM69A
Doxorubicin,FANCI
Doxorubicin,FANCL
Doxorubicin,FAS
Doxorubicin,FASLG
Doxorubicin,FASN
Doxorubicin,FBXO32
Doxorubicin,FCGR3A
Doxorubicin,FGF5
Doxorubicin,FHL2
Doxorubicin,FKBP1A
Doxorubicin,FKBP4
Doxorubicin,FKBP5
Doxorubicin,FLI1
Doxorubicin,FN1
Doxorubicin,FOLR1
Doxorubicin,FOSL1
Doxorubicin,FOXO1
Doxorubicin,FOXO3
Doxorubicin,FRMD4A
Doxorubicin,FSHB
Doxorubicin,FTH1
Doxorubicin,FTL
Doxorubicin,FTMT
Doxorubicin,FUBP1
Doxorubicin,FUT4
Doxorubicin,G0S2
Doxorubicin,G6PD
Doxorubicin,GAPDH
Doxorubicin,GATA1
Doxorubicin,GATA4
Doxorubicin,GCLC
Doxorubicin,GCLM
Doxorubicin,GDF15
Doxorubicin,GEN1
Doxorubicin,GGCX
Doxorubicin,GH1
Doxorubicin,GHRL
Doxorubicin,GJA1
Doxorubicin,GLO1
Doxorubicin,GLRX
Doxorubicin,GNAS
Doxorubicin,GNPTAB
Doxorubicin,GNRHR
Doxorubicin,GOT1
Doxorubicin,GPR176
Doxorubicin,GPSM2
Doxorubicin,GPX1
Doxorubicin,GPX4
Doxorubicin,GSK3B
Doxorubicin,GSR
Doxorubicin,GSTA1
Doxorubicin,GSTA4
Doxorubicin,GSTM1
Doxorubicin,GSTP1
Doxorubicin,GTSE1
Doxorubicin,GUSB
Doxorubicin,H2AFX
Doxorubicin,H2AFY
Doxorubicin,HADH
Doxorubicin,HAVCR1
Doxorubicin,HBEGF
Doxorubicin,HCLS1
Doxorubicin,HDAC1
Doxorubicin,HFE
Doxorubicin,HGF
Doxorubicin,HIF1A
Doxorubicin,HIPK2
Doxorubicin,HIST1H1C
Doxorubicin,HIST1H1E
Doxorubicin,HIST2H3PS2
Doxorubicin,HIST2H4B
Doxorubicin,HK2
Doxorubicin,HMGA2
Doxorubicin,HMGB2
Doxorubicin,HMGN3
Doxorubicin,HMMR
Doxorubicin,HMOX1
Doxorubicin,HNRNPD
Doxorubicin,HNRNPK
Doxorubicin,HNRNPL
Doxorubicin,HNRNPM
Doxorubicin,HOXA3
Doxorubicin,HOXB3
Doxorubicin,HPSE
Doxorubicin,HSD11B2
Doxorubicin,HSD17B3
Doxorubicin,HSDL2
Doxorubicin,HSF1
Doxorubicin,HSP90AA1
Doxorubicin,HSPA1A
Doxorubicin,HSPA4
Doxorubicin,HSPA5
Doxorubicin,HSPB1
Doxorubicin,HSPB2
Doxorubicin,HSPB6
Doxorubicin,HSPD1
Doxorubicin,HSPE1
Doxorubicin,ID2
Doxorubicin,IDH2
Doxorubicin,IFNA1
Doxorubicin,IFNG
Doxorubicin,IGF1
Doxorubicin,IGFBP2
Doxorubicin,IGFBP7
Doxorubicin,IKBKB
Doxorubicin,IKBKG
Doxorubicin,IL10
Doxorubicin,IL1A
Doxorubicin,IL1B
Doxorubicin,IL2
Doxorubicin,IL4
Doxorubicin,IL6
Doxorubicin,INHBA
Doxorubicin,IREB2
Doxorubicin,IVNS1ABP
Doxorubicin,JUN
Doxorubicin,KANK1
Doxorubicin,KAZN
Doxorubicin,KCNA5
Doxorubicin,KCNH2
Doxorubicin,KEAP1
Doxorubicin,KHSRP
Doxorubicin,KIAA1549L
Doxorubicin,KIF15
Doxorubicin,KIF1B
Doxorubicin,KIF20A
Doxorubicin,KIF23
Doxorubicin,KIF4A
Doxorubicin,KL
Doxorubicin,KLF5
Doxorubicin,KMT2A
Doxorubicin,KNG1
Doxorubicin,KRT18
Doxorubicin,LDHA
Doxorubicin,LHB
Doxorubicin,LIG4
Doxorubicin,LMNA
Doxorubicin,LMNB1
Doxorubicin,LOX
Doxorubicin,LPAR1
Doxorubicin,LPCAT1
Doxorubicin,LSM7
Doxorubicin,LTBP1
Doxorubicin,LTBP2
Doxorubicin,MAD2L1
Doxorubicin,MAP2K1
Doxorubicin,MAP2K2
Doxorubicin,MAP2K3
Doxorubicin,MAP2K4
Doxorubicin,MAP2K6
Doxorubicin,MAP4
Doxorubicin,MAPK1
Doxorubicin,MAPK10
Doxorubicin,MAPK14
Doxorubicin,MAPK3
Doxorubicin,MAPK8
Doxorubicin,MAPK9
Doxorubicin,MAPT
Doxorubicin,MB
Doxorubicin,MCAM
Doxorubicin,MCL1
Doxorubicin,MDM2
Doxorubicin,MEN1
Doxorubicin,MEST
Doxorubicin,MET
Doxorubicin,MFN1
Doxorubicin,MFN2
Doxorubicin,MICAL2
Doxorubicin,MKI67
Doxorubicin,MME
Doxorubicin,MMP1
Doxorubicin,MMP13
Doxorubicin,MMP2
Doxorubicin,MMP9
Doxorubicin,MOK
Doxorubicin,MPO
Doxorubicin,MT-ND6
Doxorubicin,MT1E
Doxorubicin,MT2A
Doxorubicin,MT3
Doxorubicin,MTOR
Doxorubicin,MVP
Doxorubicin,MYC
Doxorubicin,MYCBP
Doxorubicin,MYCN
Doxorubicin,MYH6
Doxorubicin,MYH7
Doxorubicin,MYLK
Doxorubicin,MYT1
Doxorubicin,NAGLU
Doxorubicin,NAIP
Doxorubicin,NAPSA
Doxorubicin,NBN
Doxorubicin,NCAPG
Doxorubicin,NDC80
Doxorubicin,NDUFA1
Doxorubicin,NFAT5
Doxorubicin,NFATC3
Doxorubicin,NFE2L2
Doxorubicin,NFKB1
Doxorubicin,NFKB2
Doxorubicin,NFKBIA
Doxorubicin,NME1
Doxorubicin,NME2
Doxorubicin,NMT2
Doxorubicin,NOL3
Doxorubicin,NOLC1
Doxorubicin,NONO
Doxorubicin,NOS2
Doxorubicin,NOS3
Doxorubicin,NOX4
Doxorubicin,NPHS1
Doxorubicin,NPHS2
Doxorubicin,NPPA
Doxorubicin,NPPB
Doxorubicin,NQO1
Doxorubicin,NR1I2
Doxorubicin,NR1I3
Doxorubicin,NR3C1
Doxorubicin,NRG1
Doxorubicin,NRP1
Doxorubicin,NSMAF
Doxorubicin,NUDT15
Doxorubicin,NUDT4
Doxorubicin,NUSAP1
Doxorubicin,OAZ1
Doxorubicin,OIP5
Doxorubicin,OLR1
Doxorubicin,OR10B1P
Doxorubicin,OR1I1
Doxorubicin,ORC6
Doxorubicin,OSBPL10
Doxorubicin,OXTR
Doxorubicin,PARK7
Doxorubicin,PARP1
Doxorubicin,PDHB
Doxorubicin,PDPK1
Doxorubicin,PGRMC1
Doxorubicin,PIR
Doxorubicin,PITPNC1
Doxorubicin,PKIA
Doxorubicin,PLAU
Doxorubicin,PLCD1
Doxorubicin,PLN
Doxorubicin,PMAIP1
Doxorubicin,POLRMT
Doxorubicin,POR
Doxorubicin,PPARA
Doxorubicin,PPARG
Doxorubicin,PPP1CA
Doxorubicin,PPP1R1B
Doxorubicin,PRC1
Doxorubicin,PRDX1
Doxorubicin,PRDX2
Doxorubicin,PRDX3
Doxorubicin,PRDX5
Doxorubicin,PRDX6
Doxorubicin,PRKCA
Doxorubicin,PRKCD
Doxorubicin,PRKCI
Doxorubicin,PRKDC
Doxorubicin,PRL
Doxorubicin,PRMT7
Doxorubicin,PRNP
Doxorubicin,PROC
Doxorubicin,PROCR
Doxorubicin,PRUNE
Doxorubicin,PSAP
Doxorubicin,PSG4
Doxorubicin,PSG6
Doxorubicin,PSMA1
Doxorubicin,PSMA2
Doxorubicin,PSMA3
Doxorubicin,PSMA4
Doxorubicin,PSMA5
Doxorubicin,PSMA6
Doxorubicin,PSMA7
Doxorubicin,PSMB2
Doxorubicin,PSMB3
Doxorubicin,PSMB7
Doxorubicin,PSPC1
Doxorubicin,PTCD3
Doxorubicin,PTEN
Doxorubicin,PTGER4
Doxorubicin,PTGS1
Doxorubicin,PTGS2
Doxorubicin,PTK2
Doxorubicin,PTK2B
Doxorubicin,PTX3
Doxorubicin,QKI
Doxorubicin,RAB11FIP1
Doxorubicin,RAB3B
Doxorubicin,RAB6C
Doxorubicin,RACGAP1
Doxorubicin,RAD51
Doxorubicin,RALBP1
Doxorubicin,RANBP1
Doxorubicin,RAP1A
Doxorubicin,RB1
Doxorubicin,RBBP4
Doxorubicin,RBBP8
Doxorubicin,RBL1
Doxorubicin,RBL2
Doxorubicin,RBM17
Doxorubicin,REL
Doxorubicin,RELA
Doxorubicin,REV3L
Doxorubicin,RFC1
Doxorubicin,RFC3
Doxorubicin,RFC5
Doxorubicin,RFTN1
Doxorubicin,RHOA
Doxorubicin,RIPK2
Doxorubicin,RNF19B
Doxorubicin,RPA3
Doxorubicin,RPL6
Doxorubicin,RPS27L
Doxorubicin,RPS6
Doxorubicin,RPS6KA1
Doxorubicin,RPS6KB1
Doxorubicin,RPS6KB2
Doxorubicin,RUNX1
Doxorubicin,RUNX3
Doxorubicin,SARNP
Doxorubicin,SCGB1A1
Doxorubicin,SCGB2A2
Doxorubicin,SEPT6
Doxorubicin,SERPINB2
Doxorubicin,SERPINE1
Doxorubicin,SFXN1
Doxorubicin,SGK1
Doxorubicin,SGK3
Doxorubicin,SIRT1
Doxorubicin,SKP2
Doxorubicin,SLC14A2
Doxorubicin,SLC22A16
Doxorubicin,SLC25A4
Doxorubicin,SLC29A1
Doxorubicin,SLC5A5
Doxorubicin,SLC9A1
Doxorubicin,SMAD2
Doxorubicin,SMAD3
Doxorubicin,SMAD4
Doxorubicin,SMAD7
Doxorubicin,SMC1A
Doxorubicin,SMCO4
Doxorubicin,SMPD1
Doxorubicin,SNRNP25
Doxorubicin,SNX10
Doxorubicin,SOD1
Doxorubicin,SOD2
Doxorubicin,SORL1
Doxorubicin,SORT1
Doxorubicin,SOX17
Doxorubicin,SP1
Doxorubicin,SPHK2
Doxorubicin,SPP1
Doxorubicin,SPR
Doxorubicin,SQSTM1
Doxorubicin,SRD5A1
Doxorubicin,SRGN
Doxorubicin,SRI
Doxorubicin,SRL
Doxorubicin,ST3GAL5
Doxorubicin,STAT1
Doxorubicin,STAT3
Doxorubicin,STC2
